index,Date,time,max,region,label,record
401,2019-08-21,01:29:14,10.6,< 1.5,,
402,2019-08-21,01:29:27,11.3,< 1.5,,
403,2019-08-21,01:29:40,11.0,< 1.5,,
404,2019-08-21,01:29:54,10.6,< 1.5,,
405,2019-08-21,01:30:07,11.2,< 1.5,,
406,2019-08-21,01:30:20,10.4,< 1.5,,
407,2019-08-21,01:30:34,11.3,< 1.5,,
408,2019-08-21,01:30:47,10.9,< 1.5,,
409,2019-08-21,01:31:00,11.2,< 1.5,,
410,2019-08-21,01:31:14,11.5,< 1.5,,
411,2019-08-21,01:31:27,11.5,< 1.5,,
412,2019-08-21,01:31:40,11.7,< 1.5,,
413,2019-08-21,01:31:54,10.8,< 1.5,,
414,2019-08-21,01:32:07,9.5,< 1.5,,
415,2019-08-21,01:32:20,9.9,< 1.5,,
416,2019-08-21,01:32:34,9.8,< 1.5,,
417,2019-08-21,01:32:47,10.3,< 1.5,,
418,2019-08-21,01:33:00,10.7,< 1.5,,
419,2019-08-21,01:33:14,10.8,< 1.5,,
420,2019-08-21,01:33:27,10.6,< 1.5,,
421,2019-08-21,01:33:40,10.6,< 1.5,,
422,2019-08-21,01:33:54,10.5,< 1.5,,
423,2019-08-21,01:34:07,10.2,< 1.5,,
424,2019-08-21,01:34:20,11.1,< 1.5,,
425,2019-08-21,01:34:34,11.0,< 1.5,,
426,2019-08-21,01:34:47,10.0,< 1.5,,
427,2019-08-21,01:35:00,9.5,< 1.5,,
428,2019-08-21,01:35:14,9.8,< 1.5,,
429,2019-08-21,01:35:27,10.0,< 1.5,,
430,2019-08-21,01:35:40,10.2,< 1.5,,
431,2019-08-21,01:35:54,10.6,< 1.5,,
432,2019-08-21,01:36:07,10.7,< 1.5,,
433,2019-08-21,01:36:20,9.8,< 1.5,,
434,2019-08-21,01:36:34,11.0,< 1.5,,
435,2019-08-21,01:36:47,10.3,< 1.5,,
436,2019-08-21,01:37:00,10.3,< 1.5,,
437,2019-08-21,01:37:14,10.6,< 1.5,,
438,2019-08-21,01:37:27,10.6,< 1.5,,
439,2019-08-21,01:37:40,11.0,< 1.5,,
440,2019-08-21,01:37:54,11.5,< 1.5,,
441,2019-08-21,01:38:07,11.4,< 1.5,,
442,2019-08-21,01:38:20,11.1,< 1.5,,
443,2019-08-21,01:38:34,11.1,< 1.5,,
444,2019-08-21,01:38:47,10.8,< 1.5,,
445,2019-08-21,01:39:00,11.3,< 1.5,,
446,2019-08-21,01:39:14,11.6,< 1.5,,
447,2019-08-21,01:39:27,11.6,< 1.5,,
448,2019-08-21,01:39:40,11.1,< 1.5,,
449,2019-08-21,01:39:54,11.1,< 1.5,,
450,2019-08-21,01:40:07,10.4,< 1.5,,
451,2019-08-21,01:40:20,10.3,< 1.5,,
452,2019-08-21,01:40:34,14.9,3 ~ 4.5,,QAQ
453,2019-08-21,01:40:47,11.6,< 1.5,,
454,2019-08-21,01:41:00,10.1,< 1.5,,
455,2019-08-21,01:41:14,10.2,< 1.5,,
456,2019-08-21,01:41:27,10.0,< 1.5,,
